Razao_Social;CNPJ;Endereco;Latitude;Longitude;Nome_Fantasia;Municipio;Frequencia;UF;ID_Estação;Rede;Canal;Largura_de_banda;Modulacao;Servico_RNR;Situacao_de_Licenciamento;Servico_ANATEL;Observação
 FUNDACAO DE TELEDUCACAO DO ESTADO DO CEARA-FUNTELC; 09470303000142; RUA OSVALDO CRUZ, 1985; 03S330000; 41W050000; TVC - TV CEARA CANAL 5; Fortaleza;77250,0000; CE; 322891680;;5;6000;PAL-M;TV Analógica;;800;
 TV OMEGA LTDA; 02131538000160; AVENIDA PRESIDENTE KENNEDY, 2869; 20S480100; 49W205000; REDE TV; Osasco;; SP; 9124411;;;6000;ISDB-T;TV Digital;;802;
 TELEVISAO INDEPENDENTE DE SAO JOSE DO RIO PRETO LTDA; 61413092000126; RUA GERALDINA VERONICA BATISTA DE CAMARGO, 400; 22S260500; 51W400000;; São José do Rio Preto;591250,0000; SP; 9249621;;34;6000;PAL-M;TV Analógica;;800;
 GLOBO COMUNICACAO E PARTICIPACOES S. A.; 27865757002652; AVENIDA AMERICO VESPUCIO, 2045; 19S272400; 44W163700; GLOBOPAR, TV GLOBO E GLOBO.COM; Belo Horizonte;615250,0000; MG; 323699030;;38;6000;PAL-M;TV Analógica;;800;
 RADIO E TELEVISAO BANDEIRANTES LTDA; 60509239000113; RUA RADIANTES, 13; 21S345400; 46W534400;; São Paulo;477250,0000; SP; 323703267;;15;6000;PAL-M;TV Analógica;;800;
 SUL PARANA RADIODIFUSAO LTDA; 75034439000134; RUA ULISSES FARIA, 1077; 25S520000; 50W233200; RADIO DIFUSORA DO XISTO; São Mateus do Sul;1030,0000; PR; 322481589;;;10;AM;Rádio;;205;
 TVSBT CANAL 3 DE NOVA FRIBURGO LTDA; 29341120000134; CAMPO DE SAO CRISTOVAO, 105; 22S323000; 43W421000;; Rio de Janeiro;543250,0000; RJ; 6726356;;26;6000;PAL-M;TV Analógica;;800;
 RONDOVISAO RONDONIA RADIO E TELEVISAO LTDA; 04931671000127; RUA DOURADOS, S/N; 11S434200; 61W472000; CLUBE CIDADE; Ariquemes;61250,0000; RO; 323206506;;3;6000;PAL-M;TV Analógica;;800;
 FUNDACAO PADRE ANCHIETA - CENTRO PAULISTA DE RADIO E TV EDUCATIVAS; 61914891000186; RUA CENNO SBRIGHI, 378; 20S534020; 51W221930;; São Paulo;77250,0000; SP; 9150722;;5;6000;PAL-M;TV Analógica;;800;
 FUNDACAO PADRE ANCHIETA - CENTRO PAULISTA DE RADIO E TV EDUCATIVAS; 61914891000186; RUA CENNO SBRIGHI, 378; 20S160610; 50W340900;; São Paulo;55250,0000; SP; 9150790;;2;6000;ISDB-T;TV Digital;;802;
 TV OMEGA LTDA; 02131538000160; AVENIDA PRESIDENTE KENNEDY, 2869; 19S580200; 43W553700; REDE TV; Osasco;67250,0000; SP; 322323509;;4;6000;PAL-M;TV Analógica;;248;
 RADIO BARIGUI LTDA; 02434192000170; RUA JOAO BATISTA DE SIQUEIRA, 160; 25S205916; 49W170682;; Almirante Tamandaré;1560,0000; PR; 688780687;;;10;AM;Rádio;;205;
 RADIO MULHER LIMITADA; 43017730000108; AV. PROF. ALCEU MAYNARD DE ARAUJO, 153 - 7 AND. - 71 - GJ. JULIET, .; 23S415400; 46W464000; 'RADIO MORADA DO SOL'; São Paulo;1260,0000; SP; 7805713;;;10;AM;Rádio;;205;
 RADIO E TELEVISAO RECORD S.A.; 60628369000175; RUA DA VARZEA, 240; 23S320000; 49W150000;; São Paulo;633250,0000; SP; 323703364;;41;6000;ISDB-T;TV Digital;;802;
 TVSBT CANAL 5 DE PORTO ALEGRE S/A; 54313556000248; AVENIDA DAS COMUNICAÇÕES, 04; 29S100500; 51W105500;; Osasco;501250,0000; SP; 9627936;;19;6000;ISDB-T;TV Digital;;802;
 RBS PARTICIPACOES S. A.; 68737857000122; AVENIDA ERICO VERISSIMO, 400; 29S204200; 49W434400;; Porto Alegre;181250,0000; RS; 9627014;;8;6000;ISDB-T;TV Digital;;802;
 RADIO E TELEVISAO NORTE LTDA; 14339220000159; AV.ANTONIO DA ROCHA VIANA,1559, .; 09S040000; 68W400000;; Rio Branco;61250,0000; AC; 674612574;;3;6000;PAL-M;TV Analógica;;800;
 PROGRESSO DO ACRE COMUNICACOES LTDA; 05388848000153; RUA MARECHAL DEODORO, 197; 09S540000; 67W460000;; Rio Branco;740,0000; AC; 323214355;;;10;AM;Rádio;;205;
 UNIVERSIDADE CATOLICA DE PELOTAS; 92238138002519; RUA FELIX DA CUNHA 382 3 ANDAR, .; 31S460000; 52W200000;; Pelotas;1160,0000; RS; 9547274;;;10;AM;Rádio;;205;
 FUNDACAO JOAO PAULO II; 50016039000175; RUA JOAO PAULO II, S/Nº; 19S561600; 45W051700;; Cachoeira Paulista;627250,0000; SP; 323717560;;40;6000;ISDB-T;TV Digital;;802;
