Razao_Social;CNPJ;Endereco;Latitude;Longitude;Nome_Fantasia;Municipio;Frequencia;UF;ID_Estação;Rede;Canal;Largura_de_banda;Modulacao;Servico_RNR;Situacao_de_Licenciamento;Servico_ANATEL;Observação
 FUNDACAO JOAO PAULO II; 50016039000175; RUA JOAO PAULO II, S/Nº; 17S040000; 40W570000;; Cachoeira Paulista;549250,0000; SP; 323697178;;27;6000;ISDB-T;TV Digital;;802;
 AMAZONIA CABO LTDA; 02311604000184; AVENIDA ANDRE ARAUJO, 1555; 10S421600; 62W144500;; Manaus;483250,0000; AM; 323724108;;16;6000;ISDB-T;TV Digital;;802;
 TV PANTANAL LTDA; 26773036000100; RUA SEBASTIAO RIBEIRO,S/N, .; 16S041400; 57W404400;; Cáceres;193250,0000; MT; 323139396;;10;6000;ISDB-T;TV Digital;;802;
 FUNDACAO DE TELECOMUNICACOES DO PARA; 05441704000113; AVENIDA ALMIRANTE BARROSO 735, .; 01S203600; 47W345000;; Belém;77250,0000; PA; 322802172;;5;6000;PAL-M;TV Analógica;;800;
 RADIO NOVO MILENIO LTDA; 04461207000114; RUA DIREITA, 32; 22S550000; 43W130000;; São Paulo;6030,0000; SP; 517520818;;;10;AM;Rádio;;213;
 PREFEITURA MUNICIPAL DE RIO NEGRO; 76002641000147; PRACA JOAO PESSOA, 08, .; 26S054700; 49W473600;; Rio Negro;489250,0000; PR; 322551498;;17;6000;ISDB-T;TV Digital;;802;
 FUNDACAO JOAO PAULO II; 50016039000175; RUA JOAO PAULO II, S/Nº; 07S072900; 34W501200;; Cachoeira Paulista;711250,0000; SP; 323734871;;54;6000;ISDB-T;TV Digital;;802;
 PREFEITURA MUNICIPAL DE FIRMINOPOLIS; 02321917000113; AVENIDA GOIANIA NR 322, .; 16S350000; 50W190000;; Firminópolis;549250,0000; GO; 323038263;;27;6000;ISDB-T;TV Digital;;802;
 RADIOMAR RADIO E TV DO MARANHAO LTDA; 11114087000144; AV.JOSE SARNEY,20 SALA B, .; 07S320000; 46W020000;; Balsas;; MA; 674646797;;;6000;PAL-M;TV Analógica;;800;
 FUNDACAO EVANGELICA BOAS NOVAS; 84541689000151; AVENIDA RODRIGO OTAVIO, 1655; 20S291900; 54W354900;; Manaus;603250,0000; AM; 323670407;;36;6000;ISDB-T;TV Digital;;802;
 TV ALIANCA PAULISTA S/A; 58833997000140; AVENIDA ENGENHEIRO CARLOS REINALDO MENDES, 2700; 23S113700; 48W081400; TV TEM; Sorocaba;525250,0000; SP; 323691811;;23;6000;ISDB-T;TV Digital;;802;
 DEPARTAMENTO ESTADUAL DE TELECOMUNICACOES DE MINAS GERAIS; 17327289000150;  Cidade Administrativa Presidente Tancredo Neves - Rodovia Prefeito Americo Gianetti, s/nº; 22S120000; 45W450000;; Belo Horizonte;597250,0000; MG; 322377692;;35;6000;ISDB-T;TV Digital;;802;
 SISTEMA TUCANU'S DE RADIO E TELEVISAO LTDA; 41376476000109; RUA LUIZ DOMINGUES NR 846, .; 05S320000; 47W290000;; Imperatriz;77250,0000; MA; 323223397;;5;6000;ISDB-T;TV Digital;;802;
 ALAGAMAR RADIO SOCIEDADE LTDA; 08690604000119; RUA MARTINS FERREIRA, 138; 05S070100; 36W373100; RADIO SALINAS; Macau;1520,0000; RN; 323233104;;;10;AM;Rádio;;205;
 TVSBT CANAL 5 DE PORTO ALEGRE S/A; 54313556000248; RUA CORREA LIMA, 1949; 28S311800; 50W552500;; Porto Alegre;175250,0000; RS; 9627979;;7;6000;ISDB-T;TV Digital;;802;
 TV INDEPENDENCIA S/A; 79107918000194; RUA AMAURI LANGE SILVERIO, 450; 25S235500; 49W165700;; Curitiba;175250,0000; PR; 322531721;;7;6000;PAL-M;TV Analógica;;248;
 TV OMEGA LTDA; 02131538000160; AVENIDA PRESIDENTE KENNEDY, 2869; 20S121000; 50W543400; REDE TV; Osasco;477250,0000; SP; 9124322;;15;6000;PAL-M;TV Analógica;;800;
 TELEVISAO CIDADE MODELO LTDA; 03862216000154; RODOVIA MS 156 KM 03, S/Nº,; 09S225885; 40W305510; TV DOURADOS; Dourados;537250,0000; MS; 441612075;;25;6000;ISDB-T;TV Digital;;802;
 PREFEITURA MUNICIPAL DE ARARAS; 44215846000114; RUA ALVARES CABRAL 83, .; 22S200400; 47W223200;; Araras;477250,0000; SP; 9085246;;15;6000;PAL-M;TV Analógica;;800;
 FUNDACAO JOAO PAULO II; 50016039000175; RUA JOAO PAULO II, S/Nº; 22S384600; 45W044600;; Cachoeira Paulista;597250,0000; SP; 2269236;;35;6000;PAL-M;TV Analógica;;248;
 EMPREENDIMENTOS RADIODIFUSAO CABO FRIO S/A; 31918725000197; AVENIDA WILSON MENDES, 730; 22S223200; 41W473800;; Cabo Frio;495250,0000; RJ; 6830161;;18;6000;ISDB-T;TV Digital;;802;
 PREFEITURA MUNICIPAL DE MIRANDOPOLIS; 44438968000170; RUA DAS NACOES UNIDAS, 400, .; 21S054200; 51W095000;; Mirandópolis;507250,0000; SP; 9086790;;20;6000;ISDB-T;TV Digital;;802;
 FUNDACAO JOAO PAULO II; 50016039000175; RUA JOAO PAULO II, S/Nº; 05S213500; 49W053100;; Cachoeira Paulista;579250,0000; SP; 323682090;;32;6000;ISDB-T;TV Digital;;802;
 TV SERRA DOURADA LTDA; 01061837000103; RUA 73, 349; 17S241200; 50W225000; TV SERRA DOURADA; Goiânia;193250,0000; GO; 323038182;;10;6000;ISDB-T;TV Digital;;802;
 RADIO TRANSMISSORA DE SERRA NEGRA LTDA; 71261259000134; RUA CEL. PEDRO PENTEADO, 47; 22S364480; 46W412310;; Serra Negra;1430,0000; SP; 7806205;;;10;AM;Rádio;;205;
 TV ALIANCA PAULISTA S/A; 58833997000140; AVENIDA ENGENHEIRO CARLOS REINALDO MENDES, 2700; 23S113700; 48W081400; TV TEM; Sorocaba;525250,0000; SP; 323691811;;23;6000;PAL-M;TV Analógica;;800;
 FUNDACAO DE TELEDUCACAO DO ESTADO DO CEARA-FUNTELC; 09470303000142; RUA OSVALDO CRUZ, 1985; 03S430000; 40W200000; TVC - TV CEARA CANAL 5; Fortaleza;175250,0000; CE; 322892716;;7;6000;ISDB-T;TV Digital;;802;
 ATIVA RADIODIFUSAO LTDA; 91471433000180; AVENIDA CASTELO BRANCO, 50; 29S324300; 50W500200;; Igrejinha;97900,0000; RS; 9628940;;250;200;FM;Rádio;;230;
 RADIO HORTENCIA LTDA; 03881428000189; RUA ORESTES GUIMARAES, 336; 26S131100; 49W175900;; Joinville;91500,0000; SC; 696596989;;218;200;FM;Rádio;;230;
 RADIO TV DO AMAZONAS LTDA; 04387825000161; AVENIDA ANDRE ARAUJO, 1555; 03S214284; 68W115094;; Manaus;181250,0000; AM; 322994470;;8;6000;PAL-M;TV Analógica;;800;
 RADIO ELDORADO FM DE JOINVILLE LTDA; 79419289000138; RUA PASTOR GUILHERME RAU, 250; 26S173000; 48W494000;; Joinville;104300,0000; SC; 323092675;;282;200;FM;Rádio;;230;
 FUNDACAO PADRE ANCHIETA - CENTRO PAULISTA DE RADIO E TV EDUCATIVAS; 61914891000186; RUA CENNO SBRIGHI, 378; 24S163300; 47W141000;; São Paulo;705250,0000; SP; 9149996;;53;6000;ISDB-T;TV Digital;;802;
 TELEVISAO INDEPENDENTE DE SAO JOSE DO RIO PRETO LTDA; 61413092000126; RUA GERALDINA VERONICA BATISTA DE CAMARGO, 400; 22S163100; 51W300000;; São José do Rio Preto;483250,0000; SP; 323702210;;16;6000;ISDB-T;TV Digital;;802;
 ELO COMUNICACAO LTDA; 02380966000127; AVENIDA JOSE PINHEIRO DOS SANTOS, 351; 08S170400; 35W584200;; Caruaru;67250,0000; PE; 323668240;;4;6000;PAL-M;TV Analógica;;248;
 GOV. DO EST. DE GOIAS - AGENCIA GOIANA DE COMUNICACAO; 03520902000147; RUA SC 1, 299; 17S524312; 51W395246;; Goiânia;175250,0000; GO; 323032834;;7;6000;PAL-M;TV Analógica;;800;
 TELEVISAO CIDADE MODELO LTDA; 03862216000154; RODOVIA MS 156 KM 03, S/Nº,; 16S394800; 49W202200; TV DOURADOS; Dourados;; MS; 623344181;;;6000;ISDB-T;TV Digital;;802;
 RADIO CIDADE DE CUIABA LTDA; 00169698000173; RUA PROFESSORA TEREZA LOBO NR.319, .; 15S345000; 56W050600;; Cuiabá;94300,0000; MT; 322832276;;232;200;FM;Rádio;;230;
 TELEVISAO INDEPENDENTE DE SAO JOSE DO RIO PRETO LTDA; 61413092000126; RUA GERALDINA VERONICA BATISTA DE CAMARGO, 400; 08S454300; 63W541400;; São José do Rio Preto;501250,0000; SP; 323204783;;19;6000;PAL-M;TV Analógica;;800;
 RADIO ITAPUA DE RIO CLARO LTDA; 46405452000154; AVENIDA 3, 245; 22S254000; 47W314400;; Rio Claro;95100,0000; SP; 7805411;;236;200;FM;Rádio;;230;
 SISTEMA NOVA ERA DE COMUNICACAO LTDA; 80907397000139; AV. PARANÁ, 540; 23S560000; 51W351500;; Borrazópolis;540,0000; PR; 322480906;;;10;AM;Rádio;;205;
 TELEVISAO BAHIA LTDA; 13425269000161; RUA ARISTIDES NOVIS, 123; 11S492000; 42W363200; TV BAHIA; Salvador;77250,0000; BA; 322643023;;5;6000;ISDB-T;TV Digital;;802;
 ABRIL RADIODIFUSAO S/A; 03555171000175; AVENIDA PROFESSOR ALFONSO BOVERO, 52; 26S172000; 48W493700;; São Paulo;633250,0000; SP; 323093094;;41;6000;PAL-M;TV Analógica;;800;
 EMPRESA PORTOALEGRENSE DE COMUNICACAO LTDA; 91654806000159; RUA ORFANATRÓFIO, 711; 29S420000; 52W260000; TV PAMPA; Porto Alegre;681250,0000; RS; 9627782;;49;6000;ISDB-T;TV Digital;;802;
 FUNDACAO EVANGELICA BOAS NOVAS; 84541689000151; AVENIDA RODRIGO OTAVIO, 1655; 02N500000; 60W410400;; Manaus;669250,0000; AM; 443805695;;47;6000;ISDB-T;TV Digital;;802;
 JET RADIODIFUSAO LTDA; 07714595000196; RUA PROFESSOR ALCEU BRANDAO, 2397; 05S064200; 42W475200; FM ANTENA 10; Teresina;94900,0000; PI; 323227767;;235;200;FM;Rádio;;230;
 RADIO FM APARECIDA DO NORDESTE LTDA; 13923917000100; RUA SAO JOSE, S/N; 10S555500; 37W411300;; Lagarto;94700,0000; SE; 323279619;;234;200;FM;Rádio;;230;
 FUNDACAO DE TELEDUCACAO DO ESTADO DO CEARA-FUNTELC; 09470303000142; RUA OSVALDO CRUZ, 1985; 07S080000; 40W040000; TVC - TV CEARA CANAL 5; Fortaleza;211250,0000; CE; 322892546;;13;6000;ISDB-T;TV Digital;;802;
 TELEVISAO INDEPENDENTE DE SAO JOSE DO RIO PRETO LTDA; 61413092000126; RUA GERALDINA VERONICA BATISTA DE CAMARGO, 400; 20S572300; 49W111800;; São José do Rio Preto;687250,0000; SP; 9249788;;50;6000;PAL-M;TV Analógica;;800;
 TELEVISAO INDEPENDENTE DE SAO JOSE DO RIO PRETO LTDA; 61413092000126; RUA GERALDINA VERONICA BATISTA DE CAMARGO, 400; 16S281500; 54W380800;; São José do Rio Preto;495250,0000; SP; 323142885;;18;6000;ISDB-T;TV Digital;;802;
 FUNDACAO JOAO PAULO II; 50016039000175; RUA JOAO PAULO II, S/Nº; 17S502100; 40W211400;; Cachoeira Paulista;187250,0000; SP; 323713971;;9;6000;ISDB-T;TV Digital;;802;
 TELEVISAO INDEPENDENTE DE SAO JOSE DO RIO PRETO LTDA; 61413092000126; RUA GERALDINA VERONICA BATISTA DE CAMARGO, 400; 22S250000; 50W120000;; São José do Rio Preto;513250,0000; SP; 9248951;;21;6000;PAL-M;TV Analógica;;800;
 REDE 21 COMUNICACOES LTDA; 58832528000107; RUA RADIANTES, 13; 22S005700; 48W544600;; São Paulo;645250,0000; SP; 323699375;;43;6000;ISDB-T;TV Digital;;802;
 TV RECORD DE RIO PRETO S/A; 59983486000178; RODOVIA WASHINGTON LUIZ, KM 436, S/N; 20S160400; 50W310500;; São José do Rio Preto;175250,0000; SP; 9122974;;7;6000;ISDB-T;TV Digital;;802;
 RADIO E TELEVISAO BANDEIRANTES LTDA; 60509239000113; RUA RADIANTES, 13; 23S203400; 49W223500;; São Paulo;663250,0000; SP; 9151729;;46;6000;ISDB-T;TV Digital;;802;
 TELEVISAO INDEPENDENTE DE SAO JOSE DO RIO PRETO LTDA; 61413092000126; RUA GERALDINA VERONICA BATISTA DE CAMARGO, 400; 22S092300; 47W240300;; São José do Rio Preto;705250,0000; SP; 442151594;;53;6000;PAL-M;TV Analógica;;800;
 RADIO E TELEVISAO BANDEIRANTES LTDA; 60509239000113; RUA RADIANTES, 13; 21S203800; 47W120500;; São Paulo;477250,0000; SP; 9151818;;15;6000;ISDB-T;TV Digital;;802;
 RADIO TACARIJUS LTDA; 11646239000150; RUA ANTONIO FEITOSA S/N - CENTRO, .; 05S300000; 41W200000;; São Miguel do Tapuio;660,0000; PI; 323227783;;;10;AM;Rádio;;205;
 RADIO E TELEVISAO IGUACU SA; 76600188000170; RUA JOAO TSCHANNERL, 830; 25S054200; 50W094100;; Curitiba;591250,0000; PR; 322531080;;34;6000;ISDB-T;TV Digital;;802;
 RADIO TREZE DE JUNHO LTDA; 18398669000149; RUA MARGARIDA MONTEIRO DA SILVA, 125,; 18S470000; 40W590000;; Mantena;790,0000; MG; 322323100;;;10;AM;Rádio;;205;
 FUNDACAO DE TELEDUCACAO DO ESTADO DO CEARA-FUNTELC; 09470303000142; RUA OSVALDO CRUZ, 1985; 06S250000; 38W520000; TVC - TV CEARA CANAL 5; Fortaleza;199250,0000; CE; 322892112;;11;6000;ISDB-T;TV Digital;;802;
 TV ARATU S/A; 15199136000140; RUA PEDRO GAMA, 31; 12S312200; 40W185000;; Salvador;205250,0000; BA; 322646200;;12;6000;PAL-M;TV Analógica;;800;
 RADIO TERRA FM LTDA; 01560309000107; RUA PONTA PORA, 2413; 22S135300; 54W491300;; Dourados;101900,0000; MS; 322833809;;270;200;FM;Rádio;;230;
 SOCIEDADE RADIO E TELEVISAO ALTEROSA S. A.; 17247925000134; AVENIDA ASSIS CHATEAUBRIAND, 499; 21S052900; 43W021200;; Belo Horizonte;729250,0000; MG; 323755208;;57;6000;PAL-M;TV Analógica;;800;
 RADIO JEQUITIBA LTDA; 44917318000107; RUA DR. MIGUEL PENTEADO, 585; 22S591380; 47W051060;; Campinas;1230,0000; SP; 7804814;;;10;AM;Rádio;;205;
 TV OMEGA LTDA; 02131538000160; AVENIDA PRESIDENTE KENNEDY, 2869; 23S513700; 47W593000; REDE TV; Osasco;681250,0000; SP; 9124217;;49;6000;ISDB-T;TV Digital;;802;
 FUNDACAO JOAO PAULO II; 50016039000175; RUA JOAO PAULO II, S/Nº; 21S072500; 42W223200;; Cachoeira Paulista;549250,0000; SP; 323698425;;27;6000;PAL-M;TV Analógica;;800;
 UNIVERSIDADE FEDERAL DE GOIAS; 01567601000143; ESTRADA DO CAMPUS, S/N; 16S355200; 49W171700;; Goiânia;870,0000; GO; 323010547;;;10;AM;Rádio;;205;
 GOV. DO EST. DE GOIAS - AGENCIA GOIANA DE COMUNICACAO; 03520902000147; RUA SC 1, 299; 15S515400; 50W520500;; Goiânia;501250,0000; GO; 323032826;;19;6000;PAL-M;TV Analógica;;800;
 RADIO TV DO AMAZONAS LTDA; 04387825000161; AVENIDA ANDRE ARAUJO, 1555; 02S025220; 60W010640;; Manaus;199250,0000; AM; 322994322;;11;6000;ISDB-T;TV Digital;;802;
 REDE VITORIOSA DE COMUNICACOES LTDA; 03521447000102; RUA PEPINO LATERZA, 920; 19S450000; 47W560000;; Ituiutaba;591250,0000; MG; 2134764;;34;6000;ISDB-T;TV Digital;;802;
 COGETEL; 15412257000209; RUA DESEMBARGADOR LEAO NETO DO CARMO, s/n; 22S131600; 54W482000;; Campo Grande;187250,0000; MS; 322832446;;9;6000;PAL-M;TV Analógica;;800;
 RBS TV SANTA CRUZ LTDA; 90705690000177; RUA ASSIS BRASIL, S/N; 29S430700; 52W484700;; Santa Cruz do Sul;175250,0000; RS; 9614540;;7;6000;PAL-M;TV Analógica;;800;
 TELEVISAO BAHIA LTDA; 13425269000161; RUA ARISTIDES NOVIS, 123; 12S082300; 40W213900; TV BAHIA; Salvador;67250,0000; BA; 322644119;;4;6000;ISDB-T;TV Digital;;802;
 RADIO CULTURA DE ACAILANDIA LTDA; 06764963000148; AVENIDA BERNARDO SAYAO, 1218; 04S560000; 47W300000;; Açailândia;790,0000; MA; 323221335;;;10;AM;Rádio;;205;
 RADIO PANORAMA FM DE CATOLE DO ROCHA LTDA; 24292401000120; AV. VENANCIO NEIVA, 92, .; 06S203000; 37W443000;; Catolé do Rocha;96700,0000; PB; 323259588;;244;200;FM;Rádio;;230;
 RADIO VALE DO RIO PARANA LTDA; 60494994000171; AVENIDA PRESIDENTE VARGAS, 2-44; 21S452800; 52W053500;; Presidente Epitácio;1560,0000; SP; 9222456;;;10;AM;Rádio;;205;
 SOCIEDADE DE TV FORTALEZA LTDA; 71192314000181; AV. COLATINO ANTUNES, 114, .; 16S001900; 41W175000;; Pedra Azul;61250,0000; MG; 322400660;;3;6000;PAL-M;TV Analógica;;800;
 RBS PARTICIPACOES S. A.; 68737857000122; AVENIDA ERICO VERISSIMO, 400; 28S220100; 49W374000;; Porto Alegre;77250,0000; RS; 323091172;;5;6000;PAL-M;TV Analógica;;800;
 ECONNOL - EMPRESA DE COMUNICACAO NOVO NORDESTE LTDA; 35635358000175; AV CORONEL WILSON SANTA CRUZ, 6-A; 09S454600; 36W384000;; Arapiraca;570,0000; AL; 322687705;;;10;AM;Rádio;;205;
 TV STUDIOS DE JAU S/A; 49931645000137; AVENIDA JOÃO SANZOVO, 2621; 22S594200; 49W504070; SBT - CENTRO OESTE PAULISTA - EMISSORA DO SISTEMA BRASILEIRO DE TELEVISAO; Jaú;211250,0000; SP; 9125035;;13;6000;PAL-M;TV Analógica;;800;
 TELEVISAO A CRITICA LIMITADA; 04382099000194; AVENIDA ANDRE ARAUJO, 1924; 00S580000; 62W550000; TV A CRITICA CANAL 4; Manaus;199250,0000; AM; 443392188;;11;6000;ISDB-T;TV Digital;;802;
 TELEVISAO LIBERAL LTDA; 04832721000119; AVENIDA NAZARE, 350; 07S053600; 49W561200;; Belém;67250,0000; PA; 322802687;;4;6000;ISDB-T;TV Digital;;802;
 FUNDACAO JOAO PAULO II; 50016039000175; RUA JOAO PAULO II, S/Nº; 11S130000; 37W240000;; Cachoeira Paulista;175250,0000; SP; 323283675;;7;6000;PAL-M;TV Analógica;;800;
 DETELPE - DEPARTAMENTO DE TELECOMUNICACOES DE PERNAMBUCO; 11219607000183; AVENIDA CONDE DA BOA VISTA, 1424; 08S213300; 35W132500;; Recife;615250,0000; PE; 322712890;;38;6000;PAL-M;TV Analógica;;800;
 RADIO JORNAL FLUMINENSE DE CAMPOS LTDA; 28874055000140; AVENIDA DEPUTADO ALAIR FERREIRA, 201-A; 21S120400; 41W525400;; Campos dos Goytacazes;199250,0000; RJ; 6725872;;11;6000;ISDB-T;TV Digital;;802;
 RADIO FM CIDADE DE PEDREIRAS LTDA; 10418051000191; AV. RIO BRANCO, 535, .; 04S344100; 44W362800;; Pedreiras;101500,0000; MA; 323221211;;268;200;FM;Rádio;;230;
 FUNDACAO JOAO PAULO II; 50016039000175; RUA JOAO PAULO II, S/Nº; 23S012600; 44W174600;; Cachoeira Paulista;181250,0000; SP; 323755429;;8;6000;PAL-M;TV Analógica;;800;
 TV OMEGA LTDA; 02131538000160; AVENIDA PRESIDENTE KENNEDY, 2869; 23S091000; 45W543000; REDE TV; Osasco;597250,0000; SP; 9124209;;35;6000;PAL-M;TV Analógica;;800;
 RADIO SANTA CRUZ LTDA; 14170419000104; KM 4/5 DA RODOVIA BR_415, .; 14S480600; 39W040900;; Ilhéus;1090,0000; BA; 322609976;;;10;AM;Rádio;;205;
 RBS PARTICIPACOES S. A.; 68737857000122; AVENIDA ERICO VERISSIMO, 400; 28S554200; 51W332000;; Porto Alegre;67250,0000; RS; 9627766;;4;6000;PAL-M;TV Analógica;;800;
 TV OMEGA LTDA; 02131538000160; AVENIDA PRESIDENTE KENNEDY, 2869; 22S253800; 47W314300; REDE TV; Osasco;705250,0000; SP; 9123539;;53;6000;ISDB-T;TV Digital;;802;
 REDE MULHER DE TELEVISAO LTDA; 02344518000178; AVENIDA PAULISTA, 326,; 21S294800; 47W002700;; São Paulo;603250,0000; SP; 422421103;;36;6000;ISDB-T;TV Digital;;802;
 FUNDACAO DE TELEDUCACAO DO ESTADO DO CEARA-FUNTELC; 09470303000142; RUA OSVALDO CRUZ, 1985; 03S280000; 39W320000; TVC - TV CEARA CANAL 5; Fortaleza;211250,0000; CE; 322891434;;13;6000;PAL-M;TV Analógica;;800;
 TVSBT CANAL 4 DE SAO PAULO S/A; 45039237000114; AVENIDA DAS COMUNICAÇÕES, 04; 23S045840; 46W333470;; Osasco;603250,0000; SP; 323699405;;36;6000;ISDB-T;TV Digital;;802;
 PREFEITURA MUNICIPAL DE ITAPIRA; 45281144000100; RUA JOÃO DE MORAES, 490; 22S245670; 46W494490;; Itapira;645250,0000; SP; 9086358;;43;6000;ISDB-T;TV Digital;;802;
 FUNDACAO PADRE KOLBE DE RADIO E TELEVISAO; 01681228000157; ESTRADA DO MORRO GRANDE, 870; 23S380800; 46W295900;; São Bernardo do Campo;1490,0000; SP; 9156437;;;10;AM;Rádio;;205;
 FUNDACAO JOAO PAULO II; 50016039000175; RUA JOAO PAULO II, S/Nº; 22S320200; 44W095900;; Cachoeira Paulista;723250,0000; SP; 442169140;;56;6000;ISDB-T;TV Digital;;802;
 TELEVISAO BAHIA LTDA; 13425269000161; RUA ARISTIDES NOVIS, 123; 14S100000; 41W431700; TV BAHIA; Salvador;67250,0000; BA; 322643430;;4;6000;ISDB-T;TV Digital;;802;
 FUNDACAO EDUCATIVA E CULTURAL PEDRO TRES; 00599744000174; AVENIDA HENRIQUE MOSCOSO, 717; 20S183000; 40W203300;; Vila Velha;106900,0000; ES; 323689167;;295;200;FM;Rádio;;230;
 PREFEITURA MUNICIPAL DE VOTORANTIM; 46634051000176; AVENIDA 31 DE MARCO,327, .; 23S323700; 47W275200;; Votorantim;537250,0000; SP; 9087621;;25;6000;ISDB-T;TV Digital;;802;
 FUNDACAO PADRE ANCHIETA - CENTRO PAULISTA DE RADIO E TV EDUCATIVAS; 61914891000186; RUA CENNO SBRIGHI, 378; 23S450500; 45W261400;; São Paulo;519250,0000; SP; 9149350;;22;6000;PAL-M;TV Analógica;;800;
 RADIO CULTURA DE CUIABA LTDA; 03477445000155; RUA JOAQUIM MURTINHO, 1.456; 15S360000; 56W060000;; Cuiabá;710,0000; MT; 322816475;;;10;AM;Rádio;;205;
 TELEVISAO A CRITICA LIMITADA; 04382099000194; AVENIDA ANDRE ARAUJO, 1924; 02S305000; 66W053000; TV A CRITICA CANAL 4; Manaus;471250,0000; AM; 534272142;;14;6000;ISDB-T;TV Digital;;802;
 RADIO DIFUSORA DE SALINAS LTDA; 20142725000121; RUA MARCOS VINICIUS FERREIRA, 226; 16S100000; 42W180000;; Salinas;1540,0000; MG; 322376971;;;10;AM;Rádio;;205;
 GLOBO COMUNICACAO E PARTICIPACOES S. A.; 27865757002571; RUA LOPES QUINTAS, 303; 15S594400; 48W030700; GLOBOPAR, TV GLOBO, REDE GLOBO E GLOBO.COM; Rio de Janeiro;537250,0000; RJ; 322942322;;25;6000;PAL-M;TV Analógica;;800;
 RADIO TV DO AMAZONAS LTDA; 04387825000161; AVENIDA ANDRE ARAUJO, 1555; 02S025220; 60W010640;; Manaus;187250,0000; AM; 323736297;;9;6000;PAL-M;TV Analógica;;800;
 SISTEMA LIBERDADE DE COMUNICACAO LTDA; 03805370000194; RUA CORONEL ALVES TEIXEIRA, 1905; 04S202800; 40W091100;; Fortaleza;97300,0000; CE; 698272102;;247;200;FM;Rádio;;230;
 FUNDACAO DE TELEDUCACAO DO ESTADO DO CEARA-FUNTELC; 09470303000142; RUA OSVALDO CRUZ, 1985; 03S430000; 40W580000; TVC - TV CEARA CANAL 5; Fortaleza;205250,0000; CE; 322891574;;12;6000;ISDB-T;TV Digital;;802;
 RADIO PAPANDUVA LTDA; 03966481000182; RUA JORGE LACERDA, 2910; 26S242300; 50W083950;; Papanduva;89100,0000; SC; 689829612;;206;200;FM;Rádio;;230;
 TELEVISAO INDEPENDENTE DE SAO JOSE DO RIO PRETO LTDA; 61413092000126; RUA GERALDINA VERONICA BATISTA DE CAMARGO, 400; 21S532400; 49W131500;; São José do Rio Preto;519250,0000; SP; 9249613;;22;6000;ISDB-T;TV Digital;;802;
 REDE ELDORADO DE RADIO E TELEVISAO LTDA; 34867994000160; AV. MARIA DE NAZARE BRITO DE SOUZA, 1819, .; 00N513000; 51W104800;; Macapá;199250,0000; AP; 322774039;;11;6000;ISDB-T;TV Digital;;802;
 FUNDACAO SECULO VINTE E UM; 59016873000135; RUA PADRE VIEIRA, 103; 10S410000; 37W260000;; Campinas;77250,0000; SP; 323710115;;5;6000;ISDB-T;TV Digital;;802;
 PROGRESSO DO ACRE COMUNICACOES LTDA; 05388848000153; AVENIDA CEARA, 2150; 09S540000; 67W460000;; Rio Branco;740,0000; AC; 323214355;;;10;AM;Rádio;;205;
 RADIO TRES RIOS LTDA; 29157765000111; RUA DUQUE DE CAXIAS, 627; 22S074400; 43W133900;; Três Rios;1540,0000; RJ; 5534658;;;10;AM;Rádio;;205;
 FUNDACAO NAZARE DE COMUNICACAO; 83369470000154; AVENIDA GOVERNADOR JOSE MALCHER, 915; 08S160000; 49W170000;; Belém;567250,0000; PA; 323661939;;30;6000;PAL-M;TV Analógica;;800;
 FERREIRA GOMES COMUNICACOES LTDA; 34928689000130; RUA DUQUE DE CAXIAS, S/N; 00N511800; 51W110400;; Ferreira Gomes;77250,0000; AP; 322805880;;5;6000;PAL-M;TV Analógica;;800;
 TVSBT CANAL 4 DE SAO PAULO S/A; 45039237000114; AVENIDA DAS COMUNICAÇÕES, 04; 23S230600; 45W393400;; Osasco;603250,0000; SP; 9152628;;36;6000;PAL-M;TV Analógica;;800;
 EMPRESA DE RADIODIFUSAO NOVA FRONTEIRA LTDA; 22836027000151; AVENIDA DOM PEDRO, 1045; 11S103300; 61W533500;; Jaru;92700,0000; RO; 323204244;;224;200;FM;Rádio;;230;
 TV JANGADEIRO LTDA; 11743564000130; AVENIDA ANTONIO SALES, 2811; 03S410000; 39W350000;; Fortaleza;211250,0000; CE; 323731295;;13;6000;ISDB-T;TV Digital;;802;
 Z SISTEMA EQUATORIAL DE COMUNICACOES LTDA; 05861372000126; RUA ELIEZER LEVY, 684; 00N025200; 51W030300; TV EQUATORIAL; Macapá;94500,0000; AP; 322802768;;233;200;FM;Rádio;;230;
 TV OMEGA LTDA; 02131538000160; AVENIDA PRESIDENTE KENNEDY, 2869; 22S060800; 50W112000; REDE TV; Osasco;669250,0000; SP; 9124101;;47;6000;ISDB-T;TV Digital;;802;
 RADIO SOCIEDADE OESTE CATARINENSE LTDA; 83300178000185; RUA MARECHAL FLORIANO PEIXOTO - O RUA, 161; 27S073200; 52W371000;; Chapecó;1330,0000; SC; 323055630;;;10;AM;Rádio;;205;
 FUNDACAO ROBERTO RABELLO DE COMUNICACAO SOCIAL; 36364115000102; AVENIDA CARLOS MOREIRA LIMA, 1110; 20S182700; 40W202300;; Vitória;95900,0000; ES; 6746845;;240;200;FM;Rádio;;230;
 TELEVISAO INDEPENDENTE DE SAO JOSE DO RIO PRETO LTDA; 61413092000126; RUA GERALDINA VERONICA BATISTA DE CAMARGO, 400; 31S455500; 52W203200;; São José do Rio Preto;471250,0000; SP; 9652132;;14;6000;PAL-M;TV Analógica;;800;
